"Content","Employer","Industry","ID","External ID","Contract","Tools"
"","IRVINE HILTON","Hospitality","H0801",""," Hilton Irvine - MOU on Economics Fully Executed - 12.18.23 (004).pdf","Uploads Contacts Users AccountsWorkers"
"","VAGABOND MOTEL","Hospitality","H0850",""," Vagabond Motel Unite Here 11 MOA Agreement Executed 081122.pdf","Uploads Contacts Users AccountsWorkers"
"","W WESTWOOD HOTEL","Hospitality","H0875",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","WALDORF ASTORIA BEVERLY HILLS","Hospitality","H0900",""," Waldorf Astoria - MOU on Economics Executed - 12.8.23.pdf","Uploads Contacts Users AccountsWorkers"
"","WESTIN BONAVENTURE HOTEL","Hospitality","H0950",""," Westin Bonaventure -  MOU on Economics Plus Appendices A and B and Side Letter Executed - 4.20.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HYATT REGENCY LONG BEACH","Hospitality","N0450",""," Hyatt Shay Hyatt Andaz Hyatt Regency Long Beach Hyatt Centric LB - MOU on Economics Appendix A (Growth) Appendix B (Language) Side Lett.pdf","Uploads Contacts Users AccountsWorkers"
"","HYATT CENTRIC THE PIKE LONG BEACH","Hospitality","N0475",""," Hyatt Shay Hyatt Andaz Hyatt Regency Long Beach Hyatt Centric LB - MOU on Economics Appendix A (Growth) Appendix B (Language) Side Lett.pdf","Uploads Contacts Users AccountsWorkers"
"","PHILIPPE THE ORIGINAL","Restaurant","C0111",""," Philippe The Original and Unite Here 11 Tentative Agreement (10.8.21).pdf","Uploads Contacts Users AccountsWorkers"
"","GARDENA BOWL","Restaurant","C0133",""," Gardena Bowl- CBA - exp. 12.31.2022.pdf","Uploads Contacts Users AccountsWorkers"
"","GARDENA BOWL COFFEE SHOP","Restaurant","C0135",""," Gardena Bowl- CBA - exp. 12.31.2022.pdf","Uploads Contacts Users AccountsWorkers"
"","LANGER'S DELICATESSEN","Restaurant","C0200",""," Langer's Deli - CBA - 2016-2021 (1).pdf","Uploads Contacts Users AccountsWorkers"
"","LANGER'S DELICATESSEN (Kaiser members)","Hospitality","C0201","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","W HOLLYWOOD RESTAURANT (THERE THERE) (formerly Mosaic)","Restaurant","C0250",""," 2024-11-20-w-hollywood-side-letter-re-insurance - finalized FRMLY MOSAIC.pdf","Uploads Contacts Users AccountsWorkers"
"","NORDONDO CLUB","Restaurant","C0255","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","HUDSON ONTARIO","Hospitality","C0892",""," 2024.04.15 Hudson ONT Te_001.pdf","Uploads Contacts Users AccountsWorkers"
"","LONG BEACH YACHT CLUB","Hospitality","C2695",""," CBA 2020-2025.pdf","Uploads Contacts Users AccountsWorkers"
"","CALIFORNIA CLUB","Hospitality","H0275",""," California Club Signed MOA 2024.pdf","Uploads Contacts Users AccountsWorkers"
"","UNITE HERE LOCAL 11 BENEFIT (C0090)","Participation Agreement","C0090",""," FINAL PA BAO Health Fund.pdf","Uploads Contacts Users AccountsWorkers"
"","UNITE HERE LOCAL 11 STAFF","Participation Agreement","C0100",""," 2026 COBRA Exec UHL11.pdf","Uploads Contacts Users AccountsWorkers"
"","HOSPITALITY INDUSTRY TRAINING (HTA)","Participation Agreement","C0125",""," HTA SM Fund participation agreement final (002).pdf","Uploads Contacts Users AccountsWorkers"
"","DOWNTOWN LA PROPER HOTEL","Hospitality","C0285",""," Proper DTLA - MOU on Economics Executed Corrected Version - 4.14.24.pdf","Uploads Contacts Users AccountsWorkers"
"","ASM GLOBAL AT LONG BEACH CONVENTION CENTER - Unite Here Plan","Hospitality","C0325",""," ASM at Long Beach Convention Center - CBA expiring January 15 2028 Executed - 6.26.28.pdf","Uploads Contacts Users AccountsWorkers"
"","SANDBOURNE HOTEL ","Hospitality","C0475",""," Le Merigot Sandbourne - 6.30.23 Side Letter FINAL Executed - 10.8.24.pdf","Uploads Contacts Users AccountsWorkers"
"","CHATEAU MARMONT","Hospitality","C0625",""," Chateau Marmont - UNITE HERE Local 11 CBA (2022-2026) Final(2028986.1).pdf","Uploads Contacts Users AccountsWorkers"
"","SONESTA REDONDO BEACH HOTEL","Hospitality","C0840",""," Sonesta Redondo Beach - Collective Bargaining Agreement Final Signed - 5.13.21.pdf","Uploads Contacts Users AccountsWorkers"
"","SHAY HOTEL","Hospitality","C0885",""," Hyatt Shay Hyatt Andaz Hyatt Regency Long Beach Hyatt Centric LB - MOU on Economics Appendix A (Growth) Appendix B (Language) Side Lett.pdf","Uploads Contacts Users AccountsWorkers"
"","FOX STUDIOS","Hospitality","H0975",""," Fox Studio Lot LLC  Local 11 - CBA - (May 1 2021 to April 30 2025).pdf","Uploads Contacts Users AccountsWorkers"
"","WORKER POWER PAC","Hospitality","C0085",""," SMUH - Employer Rate Change Power PAC 9.2024.pdf","Uploads Contacts Users AccountsWorkers"
"","GUCKENHEIMER AT GOOGLE ","Hospitality","C0277",""," 2024-2027 CBA LA and Orange County Google ISS Guckenheimer - fully executed.pdf","Uploads Contacts Users AccountsWorkers"
"","LEGENDS AT SOFI STADIUM","Event Center","V0551",""," SoFi - CBA FINAL VERSION - 1.30.23- executed.pdf","Uploads Contacts Users AccountsWorkers"
"","SANTA ANITA RACE TRACK","Event Center","V0702",""," Santa Anita - CBA Final Signed Expires September 30 2026 - 4.22.23.pdf","Uploads Contacts Users AccountsWorkers"
"","JONATHAN CLUB","Hospitality","H0460","H0460"," Jonathan Club - Final Version CBA 2019 to 2024 - Signed by JC 3.27.24.pdf","Uploads Contacts Users AccountsWorkers"
"","LOS ALAMITOS RACE TRACK","Event Center","V3286",""," Los Alamitos Racetrack - CBA 2023-2025 Executed - 12.28.23.pdf","Uploads Contacts Users AccountsWorkers"
"","THOMPSON AT GOOGLE ","Hospitality","C0278","C0278"," Thompson Hospitality CBA Google Vista.pdf","Uploads Contacts Users AccountsWorkers"
"","CONRAD LOS ANGELES","Hospitality","H0305","H0305"," Conrad LA - CBA Expires 1.15.28 Executed - 5.15.24.pdf","Uploads Contacts Users AccountsWorkers"
"","DISABILITY","Event Center, Hospitality, Participation Agreement, Restaurant","D9999","D9999","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","DISABILITY-INDUSTRIAL","","I9999","I9999","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","COBRA Employer","Event Center, Hospitality, Participation Agreement","COBRA",""," FMLA flyer.pdf","Uploads Contacts Users AccountsWorkers"
"","ASM GLOBAL AT GREEK THEATRE","Hospitality","C5575",""," Final CBA 2021-2024 Greek Theatre-Local 11 - Fully Executed Copy w- Corrected Wage Schedule A (01117132-2xBDC14) (1).pdf","Uploads Contacts Users AccountsWorkers"
"","LINBROOK BOWL","Hospitality","H2932",""," Linbrook MOA 2024-2029.pdf","Uploads Contacts Users AccountsWorkers"
"","LAGUNA BEACH PACIFIC EDGE HOTEL","Hospitality","C2397",""," Pacific Edge Final CBA 2025 - January 15 2028 CBA Final Executed.pdf","Uploads Contacts Users AccountsWorkers"
"","SOFITEL","Hospitality","C0815",""," Sofitel  - MOU on Economics Executed - 1.30.24 (1).pdf","Uploads Contacts Users AccountsWorkers"
"","MOXY + AC HOTEL","Hospitality","H0680",""," AC Moxy DTLA - CBA Exp 1.15.28 Executed - 5.13.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HOTEL FIGUEROA","Hospitality","H0430",""," Hotel Figueroa - MOU on Economics Plus Appendices A and B Employer Executed - 8.12.24 (003).pdf","Uploads Contacts Users AccountsWorkers"
"","GLENDALE HILTON","Hospitality","H0380","B0380"," Glendale Hilton - MOU on Economics Executed - 8.11.24.pdf","Uploads Contacts Users AccountsWorkers"
"","Eventy Employer","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","My Shop Name","Event Center","12341234","01010101","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LA HABRA BOWL","Hospitality","",""," 2025.01.28 LaHabra Bowl Health Care MOA.pdf","Uploads Contacts Users AccountsWorkers"
"","SSP ONTARIO","Hospitality","C0992",""," ONT SSP America CBA exp 2028.03.15 final executed.pdf","Uploads Contacts Users AccountsWorkers"
"","WORKER POWER NONPROFIT","Participation Agreement","C0086",""," Worker Power Non Profit PA w SM Fund.pdf","Uploads Contacts Users AccountsWorkers"
"","UNKNOWN","","UK","UK","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","HIGHER WAGES LOWER RENT","Participation Agreement","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","Marshall Retail (UHP - Kaiser)","Hospitality","",""," 2025.09.08 - 2028.06.30 Marshall Retail LAX CBA Final.pdf","Uploads Contacts Users AccountsWorkers"
"","Marshall Retail (RP)","Restaurant","",""," 2025.09.08 - 2028.06.30 Marshall Retail LAX CBA Final.pdf","Uploads Contacts Users AccountsWorkers"
"","PAYMENTS PENDING","","PAYMENTS_PENDING","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEGENDS AT BMO","Event Center","",""," 2026.06.22 Legends at BMO LAFC Stadium CBA July 1 2023 to April 30 2028 Executed.pdf","Uploads Contacts Users AccountsWorkers"
"","ASM GLOBAL AT LONG BEACH CONVENTION CENTER - Event Center Plan","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","COMPASS/BAMCO AT DISNEY BURBANK AND GLENDALE","Event Center","",""," Final Executed Compass Cafeterias MOA.pdf","Uploads Contacts Users AccountsWorkers"
"","COMPASS/BAMCO AT NBC UNIVERSAL STUDIOS","Event Center","",""," Final Executed Compass Cafeterias MOA.pdf","Uploads Contacts Users AccountsWorkers"
"","COMPASS/BAMCO AT DREAMWORKS STUDIOS","Event Center","",""," Final Executed Compass Cafeterias MOA.pdf","Uploads Contacts Users AccountsWorkers"
