@timestamp,@message
2026-01-20 17:50:20.543," 4. The Docker daemon streamed that output to the Docker client, which sent it"
2026-01-20 17:50:20.543,    to your terminal.
2026-01-20 17:50:20.543,"To try something more ambitious, you can run an Ubuntu container with:"
2026-01-20 17:50:20.543, $ docker run -it ubuntu bash
2026-01-20 17:50:20.543,"Share images, automate workflows, and more with a free Docker ID:"
2026-01-20 17:50:20.543, https://hub.docker.com/
2026-01-20 17:50:20.543,"For more examples and ideas, visit:"
2026-01-20 17:50:20.543, https://docs.docker.com/get-started/
2026-01-20 17:49:38.049,"{""level"":""info"",""ts"":1768931378.0493588,""msg"":""shutdown complete"",""signal"":""SIGTERM"",""exit_code"":0}"
2026-01-20 17:49:38.047,"{""level"":""warn"",""ts"":1768931378.045923,""msg"":""exiting; byeee!! 👋"",""signal"":""SIGTERM""}"
2026-01-20 17:49:38.047,"{""level"":""info"",""ts"":1768931378.047599,""logger"":""http"",""msg"":""servers shutting down with eternal grace period""}"
2026-01-20 17:49:38.045,"{""level"":""info"",""ts"":1768931378.0455458,""msg"":""shutting down apps, then terminating"",""signal"":""SIGTERM""}"
2026-01-20 17:48:46.284,Hello from Docker!
2026-01-20 17:48:46.284,This message shows that your installation appears to be working correctly.
2026-01-20 17:48:46.284,"To generate this message, Docker took the following steps:"
2026-01-20 17:48:46.284, 1. The Docker client contacted the Docker daemon.
2026-01-20 17:48:46.284," 2. The Docker daemon pulled the ""hello-world"" image from the Docker Hub."
2026-01-20 17:48:46.284,    (amd64)
2026-01-20 17:48:46.284, 3. The Docker daemon created a new container from that image which runs the
2026-01-20 17:48:46.284,    executable that produces the output you are currently reading.
2026-01-20 17:48:46.284," 4. The Docker daemon streamed that output to the Docker client, which sent it"
2026-01-20 17:48:46.284,    to your terminal.
2026-01-20 17:48:46.284,"To try something more ambitious, you can run an Ubuntu container with:"
2026-01-20 17:48:46.284, $ docker run -it ubuntu bash
